Date,Hour,Emission Factor (kg CO2 per kWh)
2024-01-01,1,0.52096844
2024-01-01,2,0.54082056
2024-01-01,3,0.5501421
2024-01-01,4,0.56156863
2024-01-01,5,0.56156863
2024-01-01,6,0.53037037
2024-01-01,7,0.50758621
2024-01-01,8,0.50709677
2024-01-01,9,0.52196721
2024-01-01,10,0.53754386
2024-01-01,11,0.54037736
2024-01-01,12,0.54552381
2024-01-01,13,0.54552381
2024-01-01,14,0.54552381
2024-01-01,15,0.53037037
2024-01-01,16,0.51448276
2024-01-01,17,0.50885246
2024-01-01,18,0.50885246
2024-01-01,19,0.51733333
2024-01-01,20,0.52660152
2024-01-01,21,0.52477565
2024-01-01,22,0.50954121
2024-01-01,23,0.52096844
2024-01-01,24,0.52096844
2024-01-02,1,0.562425
2024-01-02,2,0.570542
2024-01-02,3,0.589929
2024-01-02,4,0.629035
2024-01-02,5,0.623164
2024-01-02,6,0.543077
2024-01-02,7,0.540387
2024-01-02,8,0.574448
2024-01-02,9,0.548377
2024-01-02,10,0.58086
2024-01-02,11,0.608748
2024-01-02,12,0.599719
2024-01-02,13,0.592634
2024-01-02,14,0.559948
2024-01-02,15,0.59677
2024-01-02,16,0.559678
2024-01-02,17,0.582927
2024-01-02,18,0.580608
2024-01-02,19,0.577476
2024-01-02,20,0.558836
2024-01-02,21,0.574195
2024-01-02,22,0.588098
2024-01-02,23,0.575774
2024-01-02,24,0.560355
2024-01-06,1,0.602118
2024-01-06,2,0.577114
2024-01-06,3,0.627444
2024-01-06,4,0.63559
2024-01-06,5,0.658713
2024-01-06,6,0.6144
2024-01-06,7,0.586767
2024-01-06,8,0.534788
2024-01-06,9,0.584747
2024-01-06,10,0.590876
2024-01-06,11,0.619567
2024-01-06,12,0.58549
2024-01-06,13,0.598103
2024-01-06,14,0.580732
2024-01-06,15,0.556656
2024-01-06,16,0.578149
2024-01-06,17,0.535264
2024-01-06,18,0.570071
2024-01-06,19,0.568839
2024-01-06,20,0.595865
2024-01-06,21,0.607325
2024-01-06,22,0.577744
2024-01-06,23,0.564007
2024-01-06,24,0.551646
2024-01-09,1,0.557027
2024-01-09,2,0.572101
2024-01-09,3,0.613815
2024-01-09,4,0.636693
2024-01-09,5,0.617378
2024-01-09,6,0.579473
2024-01-09,7,0.560988
2024-01-09,8,0.542437
2024-01-09,9,0.590614
2024-01-09,10,0.580163
2024-01-09,11,0.605684
2024-01-09,12,0.597079
2024-01-09,13,0.606449
2024-01-09,14,0.612597
2024-01-09,15,0.579979
2024-01-09,16,0.570456
2024-01-09,17,0.55754
2024-01-09,18,0.586619
2024-01-09,19,0.578499
2024-01-09,20,0.597532
2024-01-09,21,0.550354
2024-01-09,22,0.601339
2024-01-09,23,0.522765
2024-01-09,24,0.572098
2024-01-10,1,0.535534
2024-01-10,2,0.584109
2024-01-10,3,0.606215
2024-01-10,4,0.62155
2024-01-10,5,0.615233
2024-01-10,6,0.584237
2024-01-10,7,0.570116
2024-01-10,8,0.562912
2024-01-10,9,0.596045
2024-01-10,10,0.616428
2024-01-10,11,0.594057
2024-01-10,12,0.59983
2024-01-10,13,0.58075
2024-01-10,14,0.583116
2024-01-10,15,0.585741
2024-01-10,16,0.566887
2024-01-10,17,0.54849
2024-01-10,18,0.562523
2024-01-10,19,0.613031
2024-01-10,20,0.601139
2024-01-10,21,0.548901
